recommendation_rank,job_id,company_name,company_code,job_title,source_sheet,source_row,matched_profile_skills,simulated_skill_fit_reward,bandit_q_value,selection_count,target_profile,reward_definition,method_boundary
162,JOB_0018,同花顺,300033.SZ,AI agent开发（base总部）,1-4,20,,0.0,0.0,5,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
163,JOB_0025,同花顺,300033.SZ,测试开发工程师,1-4,27,,0.0,0.0,3,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
164,JOB_0026,同花顺,300033.SZ,技术负责人（AIGC出海业务技术）,1-4,28,,0.0,0.0,2,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
165,JOB_0031,同花顺,300033.SZ,推理加速专家/主管,1-4,33,,0.0,0.0,5,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
166,JOB_0032,同花顺,300033.SZ,golang高级开发工程师,1-4,34,,0.0,0.0,5,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
167,JOB_0033,同花顺,300033.SZ,ACM专项招聘,1-4,35,,0.0,0.0,3,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
168,JOB_0034,同花顺,300033.SZ,算法实习生,1-4,36,,0.0,0.0,2,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
169,JOB_0037,同花顺,300033.SZ,推理优化算法专家,1-4,39,,0.0,0.0,9,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
170,JOB_0038,同花顺,300033.SZ,VLA算法工程师,1-4,40,,0.0,0.0,4,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
171,JOB_0039,同花顺,300033.SZ,语音引擎开发工程师,1-4,41,,0.0,0.0,4,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
172,JOB_0041,同花顺,300033.SZ,安全开发专家,1-4,43,,0.0,0.0,2,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
173,JOB_0042,同花顺,300033.SZ,AI应用开发工程师,1-4,44,,0.0,0.0,3,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
174,JOB_0044,同花顺,300033.SZ,C++开发主管（PC客户端）,1-4,46,,0.0,0.0,6,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
175,JOB_0048,同花顺,300033.SZ,C/C++ 研发工程师,1-4,50,,0.0,0.0,3,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
176,JOB_0049,同花顺,300033.SZ,C/C++ 开发工程师,1-4,51,,0.0,0.0,8,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
177,JOB_0050,同花顺,300033.SZ,C/C++ 开发工程师,1-4,52,,0.0,0.0,4,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
178,JOB_0052,同花顺,300033.SZ,Java开发工程师,1-4,54,,0.0,0.0,3,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
179,JOB_0053,同花顺,300033.SZ,多模态算法工程师,1-4,55,,0.0,0.0,4,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
180,JOB_0064,同花顺,300033.SZ,C++开发工程师（ACM计划）,1-4,66,,0.0,0.0,7,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
181,JOB_0065,同花顺,300033.SZ,AI infra（云原生、沙箱、GPU）,1-4,67,,0.0,0.0,5,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
182,JOB_0068,同花顺,300033.SZ,容器与算力平台稳定性开发工程师,1-4,70,,0.0,0.0,6,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
183,JOB_0070,同花顺,300033.SZ,算法专家（NER/命名实体识别）,1-4,72,,0.0,0.0,3,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
184,JOB_0071,同花顺,300033.SZ,AI开发工程师,1-4,73,,0.0,0.0,2,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
185,JOB_0077,同花顺,300033.SZ,ACM专项—算法、AI开发、AI工程,1-4,79,,0.0,0.0,1,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
186,JOB_0080,同花顺,300033.SZ,技术专家/架构师,1-4,82,,0.0,0.0,3,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
187,JOB_0081,同花顺,300033.SZ,视频生成算法,1-4,83,,0.0,0.0,2,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
188,JOB_0082,同花顺,300033.SZ,高级推荐算法工程师,1-4,84,,0.0,0.0,2,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
189,JOB_0083,同花顺,300033.SZ,推荐算法专家,1-4,85,,0.0,0.0,5,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
190,JOB_0084,同花顺,300033.SZ,算法博士（算法研究，量化）,1-4,86,,0.0,0.0,3,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
191,JOB_0085,同花顺,300033.SZ,AI应用工程师,1-4,87,,0.0,0.0,3,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
192,JOB_0087,同花顺,300033.SZ,推荐营销算法,1-4,89,,0.0,0.0,6,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
193,JOB_0088,同花顺,300033.SZ,Agent算法工程师,1-4,90,,0.0,0.0,3,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
194,JOB_0089,同花顺,300033.SZ,资深Java研发工程师/专家/TL,1-4,91,,0.0,0.0,5,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
195,JOB_0090,同花顺,300033.SZ,AI Builder（云原生PaaS与C++）,1-4,92,,0.0,0.0,2,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
196,JOB_0097,东方财富,300059.SZ,经营分析岗,1-4,100,,0.0,0.0,6,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
197,JOB_0101,东方财富,300059.SZ,AI应用工程师（证券）,1-4,104,,0.0,0.0,1,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
198,JOB_0102,东方财富,300059.SZ,信息安全岗 (MJ002671),1-4,105,,0.0,0.0,8,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
199,JOB_0103,东方财富,300059.SZ,客户端开发工程师 (MJ002707),1-4,106,,0.0,0.0,3,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
200,JOB_0104,东方财富,300059.SZ,算法工程师 (MJ002932),1-4,107,,0.0,0.0,6,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
201,JOB_0105,东方财富,300059.SZ,AI应用工程师 (证券),1-4,108,,0.0,0.0,6,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
202,JOB_0106,东方财富,300059.SZ,C++服务端开发工程师 (证券),1-4,109,,0.0,0.0,5,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
203,JOB_0107,东方财富,300059.SZ,java服务端开发工程师,1-4,110,,0.0,0.0,6,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
204,JOB_0108,东方财富,300059.SZ,C++服务端开发工程师 (证券),1-4,111,,0.0,0.0,4,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
205,JOB_0117,东方财富,300059.SZ,资深服务端开发工程师-Java (MJ00...),1-4,120,,0.0,0.0,0,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
206,JOB_0122,东方财富,300059.SZ,C++服务端开发工程师（证券交易）,1-4,125,,0.0,0.0,2,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
207,JOB_0142,金证股份,600446.SH,JAVA开发工程师,1-4,146,,0.0,0.0,3,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
208,JOB_0144,新致软件,688590.SH,投资经理（AI+MCN 方向）,13-15,3,,0.0,0.0,3,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
209,JOB_0160,拓尔思,300229.SZ,产品经理,13-15,19,,0.0,0.0,3,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
210,JOB_0166,天阳科技,300872.SZ,UI 设计师,9-12,5,,0.0,0.0,4,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
211,JOB_0168,天阳科技,300872.SZ,版本管理工程师（配置管理 / DevOps）,9-12,7,,0.0,0.0,3,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
212,JOB_0169,天阳科技,300872.SZ,功能测试工程师,9-12,8,,0.0,0.0,3,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
213,JOB_0170,天阳科技,300872.SZ,大数据开发工程师,9-12,9,,0.0,0.0,3,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
214,JOB_0171,天阳科技,300872.SZ,前端开发工程师,9-12,10,,0.0,0.0,7,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
215,JOB_0173,天阳科技,300872.SZ,资深数据治理工程师（咨询方向）,9-12,12,,0.0,0.0,2,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
216,JOB_0174,天阳科技,300872.SZ,java 中级开发工程师,9-12,13,,0.0,0.0,2,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
217,JOB_0175,天阳科技,300872.SZ,财务系统实施顾问,9-12,14,,0.0,0.0,3,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
218,JOB_0176,科蓝软件,300663.SZ,初级 JAVA 开发工程师,9-12,15,,0.0,0.0,4,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
219,JOB_0177,科蓝软件,300663.SZ,中级 JAVA 开发工程师,9-12,16,,0.0,0.0,3,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
220,JOB_0178,科蓝软件,300663.SZ,Android 开发工程师,9-12,17,,0.0,0.0,3,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
221,JOB_0181,京北方,002987.SZ,测试专家,9-12,20,,0.0,0.0,3,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
222,JOB_0185,中科软,603927.SH,前端开发工程师,9-12,24,,0.0,0.0,7,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
223,JOB_0190,中科软,603927.SH,测试工程师,9-12,29,,0.0,0.0,3,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
224,JOB_0192,中科软,603927.SH,UI 设计师,9-12,31,,0.0,0.0,3,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
225,JOB_0193,中科软,603927.SH,运营副总,9-12,32,,0.0,0.0,4,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
226,JOB_0195,赢时胜,300377.SZ,需求分析实习生,5-8,2,,0.0,0.0,4,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
227,JOB_0196,赢时胜,300377.SZ,需求分析实习生,5-8,3,,0.0,0.0,1,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
228,JOB_0197,赢时胜,300377.SZ,需求分析实习生,5-8,4,,0.0,0.0,2,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
229,JOB_0198,赢时胜,300377.SZ,软件测试实习生,5-8,5,,0.0,0.0,0,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
230,JOB_0199,赢时胜,300377.SZ,软件测试实习生,5-8,6,,0.0,0.0,7,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
231,JOB_0203,宇信科技,300674.SZ,资深业务专家(J11984),5-8,10,,0.0,0.0,8,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
232,JOB_0209,宇信科技,300674.SZ,信贷业务专家(J11646),5-8,16,,0.0,0.0,2,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
233,JOB_0217,宇信科技,300674.SZ,高级软件工程师(J11802),5-8,24,,0.0,0.0,4,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
234,JOB_0219,宇信科技,300674.SZ,中级软件工程师(J11963),5-8,26,,0.0,0.0,7,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
235,JOB_0220,宇信科技,300674.SZ,初级系统工程师(J11995),5-8,27,,0.0,0.0,4,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
236,JOB_0232,神州信息,000555.SZ,软件工程师(J12245),5-8,39,,0.0,0.0,6,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
237,JOB_0234,神州信息,000555.SZ,软件工程师(J22380),5-8,41,,0.0,0.0,7,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
238,JOB_0235,神州信息,000555.SZ,软件工程师(J22342),5-8,42,,0.0,0.0,2,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
239,JOB_0236,神州信息,000555.SZ,软件工程师(J22337),5-8,43,,0.0,0.0,3,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
240,JOB_0237,神州信息,000555.SZ,软件工程师(J22248),5-8,44,,0.0,0.0,0,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
241,JOB_0238,神州信息,000555.SZ,软件工程师(J22215),5-8,45,,0.0,0.0,3,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
242,JOB_0245,长亮科技,300348.SZ,销售经理,5-8,52,,0.0,0.0,2,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
